config,seed,t,P,theta,cap,score,adopted
small-4-3,8,100,1.50,0.40,1,204.9,0
small-4-3,8,100,1.50,0.40,3,204.9,0
small-4-3,8,100,1.50,0.40,2,204.9,1
small-4-3,8,150,1.80,0.40,2,152.2,0
small-4-3,8,150,1.30,0.40,2,152.2,0
small-4-3,8,150,1.50,0.50,2,152.2,0
small-4-3,8,150,1.50,0.40,2,152.2,1
small-4-3,8,200,1.50,0.33,2,107.6,0
small-4-3,8,200,1.50,0.40,1,107.6,0
small-4-3,8,200,1.50,0.40,3,107.6,0
small-4-3,8,200,1.50,0.40,2,107.6,1
small-4-3,8,250,1.80,0.40,2,81.0,0
small-4-3,8,250,1.30,0.40,2,81.9,0
small-4-3,8,250,1.50,0.50,2,81.0,0
small-4-3,8,250,1.30,0.40,2,81.9,1
small-4-3,8,300,1.30,0.33,2,52.5,0
small-4-3,8,300,1.30,0.40,1,52.5,0
small-4-3,8,300,1.30,0.40,3,52.5,0
small-4-3,8,300,1.30,0.40,2,52.5,1
small-4-3,8,350,1.10,0.40,2,28.1,0
small-4-3,8,350,1.60,0.40,2,28.1,0
small-4-3,8,350,1.30,0.50,2,28.1,0
small-4-3,8,350,1.30,0.40,2,28.1,1
small-4-3,8,400,1.30,0.33,2,6.9,0
small-4-3,8,400,1.30,0.40,1,6.9,0
small-4-3,8,400,1.30,0.40,3,6.9,0
small-4-3,8,400,1.30,0.40,2,6.9,1
small-4-3,8,450,1.10,0.40,2,0.0,0
small-4-3,8,450,1.60,0.40,2,0.0,0
small-4-3,8,450,1.30,0.50,2,0.0,0
small-4-3,8,450,1.30,0.40,2,0.0,1
small-4-3,9,50,1.80,0.40,2,348.7,0
small-4-3,9,50,1.30,0.40,2,348.7,0
small-4-3,9,50,1.50,0.50,2,348.7,0
small-4-3,9,50,1.50,0.40,2,348.7,1
small-4-3,9,100,1.50,0.33,2,100.3,0
small-4-3,9,100,1.50,0.40,1,100.3,0
small-4-3,9,100,1.50,0.40,3,100.3,0
small-4-3,9,100,1.50,0.40,2,100.3,1
small-4-3,9,150,1.80,0.40,2,102.9,0
small-4-3,9,150,1.30,0.40,2,102.9,0
small-4-3,9,150,1.50,0.50,2,102.9,0
small-4-3,9,150,1.50,0.40,2,102.9,1
small-4-3,9,200,1.50,0.33,2,177.9,0
small-4-3,9,200,1.50,0.40,1,177.9,0
small-4-3,9,200,1.50,0.40,3,177.9,0
small-4-3,9,200,1.50,0.40,2,177.9,1
small-4-3,9,250,1.80,0.40,2,98.7,0
small-4-3,9,250,1.30,0.40,2,98.7,0
small-4-3,9,250,1.50,0.50,2,98.7,0
small-4-3,9,250,1.50,0.40,2,98.7,1
small-4-3,9,300,1.50,0.33,2,30.2,0
small-4-3,9,300,1.50,0.40,1,30.2,0
small-4-3,9,300,1.50,0.40,3,30.2,0
small-4-3,9,300,1.50,0.40,2,30.2,1
small-4-3,9,350,1.80,0.40,2,6.5,0
small-4-3,9,350,1.30,0.40,2,6.5,0
small-4-3,9,350,1.50,0.50,2,6.5,0
small-4-3,9,350,1.50,0.40,2,6.5,1
small-4-3,9,400,1.50,0.33,2,0.0,0
small-4-3,9,400,1.50,0.40,1,0.0,0
small-4-3,9,400,1.50,0.40,3,0.0,0
small-4-3,9,400,1.50,0.40,2,0.0,1
small-4-3,9,450,1.80,0.40,2,0.0,0
small-4-3,9,450,1.30,0.40,2,0.0,0
small-4-3,9,450,1.50,0.50,2,0.0,0
small-4-3,9,450,1.50,0.40,2,0.0,1
small-4-3,10,50,1.80,0.40,2,123.3,0
small-4-3,10,50,1.30,0.40,2,123.3,0
small-4-3,10,50,1.50,0.50,2,123.3,0
small-4-3,10,50,1.50,0.40,2,123.3,1
small-4-3,10,100,1.50,0.33,2,169.1,0
small-4-3,10,100,1.50,0.40,1,169.1,0
small-4-3,10,100,1.50,0.40,3,169.1,0
small-4-3,10,100,1.50,0.40,2,169.1,1
small-4-3,10,150,1.80,0.40,2,158.3,0
small-4-3,10,150,1.30,0.40,2,158.3,0
small-4-3,10,150,1.50,0.50,2,158.3,0
small-4-3,10,150,1.50,0.40,2,158.3,1
small-4-3,10,200,1.50,0.33,2,109.5,0
small-4-3,10,200,1.50,0.40,1,109.5,0
small-4-3,10,200,1.50,0.40,3,109.5,0
small-4-3,10,200,1.50,0.40,2,109.5,1
small-4-3,10,250,1.80,0.40,2,75.2,0
small-4-3,10,250,1.30,0.40,2,75.2,0
small-4-3,10,250,1.50,0.50,2,75.2,0
small-4-3,10,250,1.50,0.40,2,75.2,1
small-4-3,10,300,1.50,0.33,2,52.3,0
small-4-3,10,300,1.50,0.40,1,52.3,0
small-4-3,10,300,1.50,0.40,3,52.3,0
small-4-3,10,300,1.50,0.40,2,52.3,1
